recon name	has match in metaCyc	ids
9,11-cycloperoxy-15-hydroperoxy-5Z,13E-eicosadienoate	False	9,11-cycloperoxy-15-hydroperoxy-5Z,13E-eicosadienoate SGUKUZOVHSFKPH-WRDXCJKLSA-N
CPD-14717	True	CPD-14717	CPD0-2253  ;  CPD-10261  ;  CPD-14717	
heparan sulfate, degradation product 8	False	heparan sulfate, degradation product 8
XYLITOL	True	XYLITOL HMDB02917 DB01904 Xylitol 6646 17151 6912 C00379 87-99-0	L-ARABITOL  ;  CPD-355  ;  RIBITOL  ;  XYLITOL	
Benzo[a]pyrene-9,10-oxide	False	Benzo[a]pyrene-9,10-oxide GOEJUYABKOTLJA-UHFFFAOYSA-N C14849 37456
CPD-10255	True	CPD-10255 46173188	CPD-10255	
i-antigen	False	i-antigen 62266
CPD-14378	True	CPD-14378	CPD-14378	
heparan sulfate, degradation product 1	False	heparan sulfate, degradation product 1
CPD-14675	True	CPD-14675 HMDB02057 25137904 51341	CPD-14675	
4-NITROANILINE	True	4-NITROANILINE 14142322 7475 17064 C02126 9797 100-01-6	CPD-15171  ;  IMIDAZOLE-PROPIONATE  ;  4-NITROANILINE	
all-trans-3,4-didehydroretinoate	False	all-trans-3,4-didehydroretinoate SYESMXTWOAQFET-UHFFFAOYSA-N
keratan sulfate I biosynthesis, precursor 25	False	keratan sulfate I biosynthesis, precursor 25
DUMP	True	DUMP 34762 18555972 246422 18601100 C00365 964-26-1	CPD-15393  ;  DUMP	
CPD-3727	True	CPD-3727 75175 10463764 23421178	CPD-3725  ;  CPD-3727	
CPD-11400	True	CPD-11400 44237356	CPD-11402  ;  CPD-11400	
CPD-11404	True	CPD-11404 10295972 21679629	CPD-11404	
chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan	False	chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan
CPD-12014	True	CPD-12014 2198 1794 C05643 1864	CPD-12014	
5beta-cholestane-3alpha,7alpha,12alpha,23,25-pentol	False	5beta-cholestane-3alpha,7alpha,12alpha,23,25-pentol OXSBBBPDYVCAKC-SCZAGEHDSA-N 5284212 LMST04030038
kinetensin 1-7	False	kinetensin 1-7 QMQIVQMAYCBWNH-CBNDDBNJSA-N HMDB12984 53481565
dodecanedioylcoa	False	dodecanedioylcoa
CPD-14226	True	CPD-14226 18040	CPD-265  ;  CPD-14226	
6,9,12,15,18-all-cis-tetracosapentaenoate	False	6,9,12,15,18-all-cis-tetracosapentaenoate VENRYLMOFDSSDJ-UHFFFAOYSA-N HMDB06322 14505435 LMFA01030820
CPD-14404	True	CPD-14404	CPD-14422  ;  CPD-14404	
chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4	False	chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4
CPD0-2521	True	CPD0-2521	CPD-1106  ;  CPD0-2521	
CPD-12288	True	CPD-12288 25201451	CPD-12288	
keratan sulfate I biosynthesis, precursor 33	False	keratan sulfate I biosynthesis, precursor 33
chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 3	False	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 3
3',5'-diiodo-L-thyronine 4'-O-sulfate	False	3',5'-diiodo-L-thyronine 4'-O-sulfate BVGCAAVTXFZYKS-CYBMUJFWSA-N
CPD-425	True	CPD-425 3603822 606565 4402710 C01586 495-69-2	CPD-14094  ;  N-ACETYLANTHRANILATE  ;  CPD-14876  ;  CPD-425	
CPD-15689	True	CPD-15689	CPD0-1160  ;  CPD-15688  ;  CPD-15689	
4-IMIDAZOLEACETATE	True	4-IMIDAZOLEACETATE 3351679 57969 4139109 C02835	4-IMIDAZOLEACETATE	
2-AMINO-MUCONATE	True	2-AMINO-MUCONATE 57937 25244847 C02220	CPD-16451  ;  2-AMINO-MUCONATE	
INOSITOL-1-4-BISPHOSPHATE	True	INOSITOL-1-4-BISPHOSPHATE 58282 25203530 C01220 47055-78-7	CPD-6783  ;  ALPHA-GLUCOSE-16-BISPHOSPHATE  ;  CPD-6747  ;  FRUCTOSE-16-DIPHOSPHATE  ;  CPD-535  ;  TAGATOSE-1-6-DIPHOSPHATE  ;  BETA-GLUCOSE-16-DIPHOSPHATE  ;  CPD-11930  ;  D-MYO-INOSITOL-13-BISPHOSPHATE  ;  CPD-193  ;  D-MYO-INOSITOL-34-BISPHOSPHATE  ;  INOSITOL-1-4-BISPHOSPHATE	
CPD-18	True	CPD-18 57383 25245440 C02050	CPD-15683  ;  CPD-18	
6(S)-hydroxy-tetradeca-4E,8Z-dienoate	False	6(S)-hydroxy-tetradeca-4E,8Z-dienoate YUXIINYOKQBAER-CYBMUJFWSA-N
ETOH	True	ETOH HMDB00108 DB00898 35062 682 702 16236 C00469 64-17-5	ETOH	
T2-DECENOYL-COA	True	T2-DECENOYL-COA 61406 45480 25246302 C05275	CPD-15692  ;  CPD-12896  ;  CPD-14925  ;  T2-DECENOYL-COA	
R total Coenzyme A	False	R total Coenzyme A
2-hydroxyestrone-4-S-glutathione	False	2-hydroxyestrone-4-S-glutathione ZKSQMGPMDHYFMB-LCOBOIQCSA-N HMDB12624 53481502
S-ALLANTOIN	True	S-ALLANTOIN 37849 388780 439714 15678 C02350	R--ALLANTOIN  ;  S-ALLANTOIN	
CPD-15039	True	CPD-15039	CPD-14277  ;  CPD-15039	
CPD-15475	True	CPD-15475	CPD-15475	
CPD-7707	True	CPD-7707 10140216 11966223 19680	2-KETO-ISOVALERATE  ;  CPD-280  ;  CPD0-1572  ;  CPD-3618  ;  CPD-7707	
AMMONIUM	True	AMMONIUM 28938 33515 218 223 C01342 14798-03-9	AMMONIA  ;  AMMONIUM	
THIAMINE-PYROPHOSPHATE	True	THIAMINE-PYROPHOSPHATE 33732 13082024 15938963 58937 154-87-0 C00068	THIAMINE-PYROPHOSPHATE	
3(S),6(R)-dihydroxy-tetradec-8Z-enoate	False	3(S),6(R)-dihydroxy-tetradec-8Z-enoate OUPAWBIIPPCTBK-OLZOCXBDSA-N
CPD-11521	True	CPD-11521 44237133	CPD-11521	
D-glucosyl-N-acylsphingosine	False	D-glucosyl-N-acylsphingosine 18368
256-TRIHYDROXY-56-DIHYDROQUINOLINE	True	256-TRIHYDROXY-56-DIHYDROQUINOLINE 389809 440984 17244 C06339	256-TRIHYDROXY-56-DIHYDROQUINOLINE	
CPD-3184	True	CPD-3184 137367 155956	CPD-3184	
isovaleryl carnitine	False	isovaleryl carnitine IGQBPDJNUXPEMT-UHFFFAOYSA-N HMDB00688 6426851
CPD-7275	True	CPD-7275 50986215 52050 C05450	CPD-7275	
CPD-14425	True	CPD-14425	CPD-14425	
keratan sulfate II (core 2-linked), degradation product 2	False	keratan sulfate II (core 2-linked), degradation product 2
