recon name	has match in metaCyc	ids	number of reactions included
naphthalene epoxide	True	XQIJIALOJPIKGX-UHFFFAOYSA-N 52431 HMDB06215 108063	1	CPD-8131  ;  NAPHTHOL	C10H8O1
(S)-2-Aminobutanoate	True	QWCKQJZIFLGMSD-VKHMYHEASA-N 35619 HMDB00452 C02356 80283 LMFA01100034	2	CPD0-1942	C4H9N1O2
Peptidyl-L-lysine	False	C02188	0
tetracosanoyl-CoA	True	MOYMQYZWIUKGGY-JBKAVQFISA-N 52974 HMDB06526 C16529 3082227 LMFA07050053	1	CPD-10280	C45H78N7O17P3S1
L-dopaquinone	True	AHMIDUVKSGCHAU-LURJTMIESA-N 16852 HMDB01229 C00822 439316	5	DOPAQUINONE	C9H9N1O4
8alpha-hydroxy-gama-tocopherone	True	CSHBKBJSGSRKLB-SUZCJKPRSA-N	2	CPD-717  ;  CPD-11837  ;  CPD-12495  ;  CPD-714	C28H48O3
trans-Hex-2-enoyl-CoA	True	OINXHIBNZUUIMR-DOSZRKKKSA-N 62077 HMDB03944 C05271 5280765	4	CPD0-2121	C27H40N7O17P3S1
20-oxo-leukotriene E4	False	DXFWBOQUFGDWDP-QHAWAJNXSA-N HMDB12642 53481512	2
12-oxo-10,11-dihydro-20-COOH-LTB4	True	RYMSXFPLTLWXCK-SFHVURJKSA-N HMDB12549 53481456	1	CPD-12360  ;  CPD-10115	C20H28O6
spermic acid 1	False	JQNGEJIUZQDHIS-UHFFFAOYSA-N 125245	1
debrisoquine	False	JWPGJSVJDAJRLW-UHFFFAOYSA-N 34665 HMDB06543 C13650 2966	1
20-hydroxycholesterol	True	MCKLJFJEQRYRQT-APGJSSKUSA-N 1296 C05500 121935 LMST01010201	4	2-HYDROXY-CHOLESTEROL	C27H46O2
1D-myo-Inositol 3,4-bisphosphate	True	MCKAJXMRULSUKI-CNWJWELYSA-N 28858 HMDB06235 C04063 440211	2	D-MYO-INOSITOL-34-BISPHOSPHATE	C6H10O12P2
3-Oxohexanoyl-ACP	False	C05746	2
17-hydroxy-D4-neuroprostane	True	WGWLXYZABPWUEU-UHFFFAOYSA-N	1	CPD66-62  ;  CPD66-59  ;  CPD66-64  ;  CPD66-61  ;  CPD66-65  ;  CPD66-63	C22H31O5
L-homocysteine	True	FFFHZYDWPBMWHY-VKHMYHEASA-N 17588 HMDB00742 C05330 91552	5	CPD-8826  ;  HOMO-CYS  ;  CPD0-1570  ;  S-METHYL-L-CYSTEINE	C4H9N1O2S1
3-hydroxyoctadecenoylcoa	True		2	CPD-10260	C39H64N7O18P3S1
keratan sulfate II (core 4-linked), degradation product 3	False		0
Succinyl-CoA	True	VNOYUJKHFWYWIR-FZEDXVDRSA-N 57292 HMDB01022 C00091 439161	12	SUC-COA	C25H35N7O19P3S1
tetradecenoyl carnitine	False	NNCBVXBBLABOCB-SEYXRHQNSA-N HMDB02014 22833575	1
glycogen, structure 1 (glycogenin-11[1,4-Glc])	False		2
calciol	True	QYSXJUFSXHHAJI-RWDMXNMGSA-N 28940 HMDB00876 C05443 10883523 LMST03020001	3	VITAMIN_D3	C27H44O1
N-acetyl-5-methoxykynuramine	True	RJQIZOKNUKRKTP-UHFFFAOYSA-N 390658	1	CPD-12023	C12H16N2O3
proton	True	GPRLSGONYQIRFK-FTGQXOHASA-N 15378 HMDB01362 C00080 1038	1517	PROTON	H1
phylloquinone	True	MBWXNTAXLNYFJB-DNQXCXABSA-N 18067 HMDB03555 C02059 5280483 LMPR02030028	0	2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE	C31H46O2
trans,cis-deca-2,4-dienoyl-CoA	True	FASAKYLWSRDQOH-KIRVJFPLSA-N	3	CPD-1827  ;  T2-C4-DECADIENYL-COA	C31H46N7O17P3S1
11-octadecenoylcoa	True		3	CPD-10270  ;  CPD-10262  ;  OLEOYL-COA	C39H64N7O17P3S1
GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)	False		0
o-methylhippurate	True	YOEBAVRJHRCKRE-UHFFFAOYSA-N 68455 HMDB11723 91637	1	CPD-11715	C10H10N1O3
N-[(E)-4-ammoniobutylidene]propane-1,3-diaminium	False	YAVLYBVKPXLZEQ-UHFFFAOYSA-N 58732 23657850	2
10-hydroperoxy-H4-neuroprostane	False	QMVMCSYNPSQOII-IUSNASPOSA-N	3
(alpha-D-Mannosyl)8-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol, human uterine homolog	False	59093	1
Galactose-1P	True	HXXFSFRBOHSIMQ-SVZMEOIVSA-N 17973 HMDB00645 C00446 439995	2	GALACTOSE-1P	C6H11O9P1
guar gum-taurocholic acid complex	False		1
3,7,10,13,16,19-docosahexenoylcoa	False		2
24R,25-Dihyoxyvitamin D2	False	BPEQZNMKGFTMQE-DXYROGBQSA-N	2
imidazol-4-ylacetate	True	PRJKNHOMHKJCEJ-UHFFFAOYSA-N 16974 HMDB02024 C02835 96215	2	4-IMIDAZOLEACETATE	C5H5N2O2
1-alkyl 2-acylglycerol	False	52595	3
Pyridoxal	True	RADKZDMFGJYCBB-UHFFFAOYSA-N 17310 HMDB01545 C00250 1050	5	PYRIDOXAL	C8H9N1O3
L-Sorbose	True	BJHIKXHVCXFQLS-OTWZMJIISA-N 10295 HMDB01266 C08356 441484	1	CPD-15986	C6H12O6
DNA 5-methylcytosine	False	C02967	1
octadecanoate (n-C18:0)	True	QIQXTHQIDYTFRH-UHFFFAOYSA-N 28842 HMDB00827 C01530 3033836 LMFA01010018	3	STEARIC_ACID	C18H35O2
(20S)-20-hydroxypregn-4-en-3-one	True	RWBRUCCWZPSBFC-RXRZZTMXSA-N 28453 HMDB03069 C04042 LMST02030169	1	CPD-5962  ;  CPD-293  ;  CPD-9593  ;  PREGNENOLONE	C21H32O2
homogentisate	True	IGMNYECMUMZDDF-UHFFFAOYSA-N 44747 HMDB00130 C00544 780	2	HOMOGENTISATE	C8H7O4
delta12-Prostaglandin J2	True	TUXFWOHFPFBNEJ-IRXDYDNUSA-N 114678	4	CPD66-58  ;  CPD-5001	C20H29O4
dCTP	True	RGWHQCVHVJXOKC-SHYZEUOFSA-N 16311 HMDB00998 C00458 65091	10	DCTP	C9H12N3O13P3
docosa-4,7,10,13,16-pentaenoyl coenzyme A	False	QKBTYZDPVNTERQ-JWANFKMKSA-N HMDB06513 C16173 23724650	4
Thiamin	True	JZRWCGZRTZMZEH-UHFFFAOYSA-N 18385 HMDB00235 C00378 1130	2	THIAMINE	C12H17N4O1S1
keratan sulfate II biosynthesis, precursor 2	False		0
GD1c	False		0
leukotriene B4(1-)	True	VNYSSYRCGWBHLG-RTBURBONSA-N 15647 HMDB01085 C02165 5280492 LMFA03020001	6	6Z8E10E14Z-5S12R-512-DIHYDROXYI	C20H31O4
3(S)-hydroxy-4-methyl-pentanoyl-CoA	True	FVDISPKCRAHPBJ-FZUZKZESSA-N	2	CPD-11652  ;  OH-HEXANOYL-COA  ;  CPD-14915	C27H42N7O18P3S1
gamma-tocopherol	True	QUEDXNHFTDJVIY-DQCZWYHMSA-N 18185 HMDB01492 C02483 92729 LMPR02020065	0	GAMA-TOCOPHEROL	C28H48O2
Tetradecanoyl-CoA (n-C14:0CoA)	True	DUAFKXOFBZQTQE-XVDJLSDJSA-N 57385 HMDB01521 C02593 25244582	13	TETRADECANOYL-COA	C35H58N7O17P3S1
protein-linked asparagine residue (N-glycosylation site)	False		3
cerotate	True	XMHIUKTWLZUKEX-UHFFFAOYSA-N 31009 HMDB02356 10469 LMFA01010026	1	CPD-7832	C26H51O2
linoelaidyl coenzyme A	True		2	CPD-18	C39H62N7O17P3S1
glycerone	True	RXKJFZQQPQGTFL-UHFFFAOYSA-N 16016 HMDB01882 C00184 670	2	DIHYDROXYACETONE	C3H6O3
keratan sulfate I biosynthesis, precursor 24	False		0
5-oxo-12(S)-hydroxy-eicosa-2E,8E,10E,14Z-tetraenoyl-CoA	False	JAXQYBDKEXQEIO-GJQNRNMWSA-N	2
(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	False	C05875	4
quinolinate(2-)	True	GJAWHXHKYYXBSV-UHFFFAOYSA-N 16675 HMDB00232 C03722 1066	1	QUINOLINATE	C7H3N1O4
