reaction name	ECN	has match in metaCyc	contains atom mapping	left mets	right mets	missingMets
 2,3-diketo-5-methylthio-1-phosphopentane degradation reaction		False	False	GPRLSGONYQIRFK-FTGQXOHASA-N+NBIIXXVUZAFLBC-UHFFFAOYSA-N+BDAGIHXWWSANSR-UHFFFAOYSA-N+SXFSQZDSUWACKX-UHFFFAOYSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+MYMOFIZGZYHOMD-UHFFFAOYSA-N+50604	
 2-keto-4-methylthiobutyrate transamination		True	True	KPGXRSRHYNQIFN-UHFFFAOYSA-N+FFEARJCKVFRZRR-BYPYZUCNSA-N	WHUUTDBJXJRKMK-VKHMYHEASA-N+SXFSQZDSUWACKX-UHFFFAOYSA-N	
 5'-nucleotidase (AMP)	3.1.3.5	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+OIRDTQYFTABQOQ-KQYNXXCUSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+UDMBCSSLTHHNCD-KQYNXXCUSA-N	
 5'-nucleotidase (CMP)	3.1.3.5	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+UHDGCWIWMRVCDJ-XVFCMESISA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+IERHLVCPSMICTF-XVFCMESISA-N	
 5'-nucleotidase (GMP)	3.1.3.5	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+NYHBQMYGNKIUIF-UUOKFMHZSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+RQFCJASXJCIDSX-UUOKFMHZSA-N	
 5'-nucleotidase (IMP)	3.1.3.5	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+UGQMRVRMYYASKQ-KQYNXXCUSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GRSZFWQUAKGDAV-KQYNXXCUSA-N	
 5'-nucleotidase (dCMP)	3.1.3.5	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+CKTSBUTUHBMZGZ-SHYZEUOFSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+NCMVOABPESMRCP-SHYZEUOFSA-N	
 5'-nucleotidase (dTMP)	3.1.3.5	True	True	NBIIXXVUZAFLBC-UHFFFAOYSA-N+IQFYYKKMVGJFEH-XLPZGREQSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+GYOZYWVXFNDGLU-XLPZGREQSA-N	
 5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase		True	True	XLYOFNOQVPJJNP-UHFFFAOYSA-N+50604	CNSJRYUMVMWNMC-RITPCOANSA-N	
(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl- CoA hydro-lyase Bile acid biosynthesis EC:4.2.1.107	4.2.1.107	True	True	PXHZOQNODUPJKC-YZBUYOTGSA-N	XLYOFNOQVPJJNP-UHFFFAOYSA-N+QVDPWQVOSKJUES-SQEGORTJSA-N	
